event_id,machine_id,timestamp,event_type,related_order_id,related_tool_id,operator_id,details
EVT-00001,M07,2026-04-02 10:54:00,ALARM,,TL-14,,Quality alarm triggered: SCRATCH trend rising
EVT-00002,M03,2026-04-20 13:40:00,MATERIAL_CONDITION_FLAG,,,,Incoming material flagged: Material moisture content out of spec
EVT-00003,M03,2026-04-20 13:54:00,ALARM,,TL-05,,Quality alarm triggered: CRACK trend rising
EVT-00004,M09,2026-04-28 08:54:00,ALARM,,TL-16,,Quality alarm triggered: CONTAM trend rising
EVT-00005,M04,2026-05-05 08:54:00,ALARM,,TL-20,,Quality alarm triggered: CONTAM trend rising
EVT-00006,M07,2026-05-12 09:04:00,ALARM,,TL-14,,Quality alarm triggered: SCRATCH trend rising
EVT-00007,M06,2026-05-18 08:45:00,PARAM_CHANGE,,TL-13,,Process parameter drift noted: Extrusion die temperature drift
EVT-00008,M06,2026-05-18 08:54:00,ALARM,,TL-13,,Quality alarm triggered: CRACK trend rising
EVT-00009,M06,2026-05-18 09:00:00,DOWNTIME_START,,TL-13,,Line stopped pending recovery for INC-0018 (CRACK)
EVT-00010,M06,2026-05-18 09:28:00,DOWNTIME_END,,TL-13,,Line resumed after recovery attempt outcome=FAILURE for INC-0018; re-escalated
EVT-00011,M06,2026-05-19 08:45:00,PARAM_CHANGE,,TL-13,,Process parameter drift noted: Extrusion die temperature drift (recurrence after first fix failed)
EVT-00012,M06,2026-05-19 08:54:00,ALARM,,TL-13,,Quality alarm triggered: CRACK trend rising
EVT-00013,M01,2026-05-20 08:54:00,ALARM,,TL-18,,Quality alarm triggered: SCRATCH trend rising
EVT-00014,M02,2026-05-25 08:54:00,ALARM,,TL-18,,Quality alarm triggered: SCRATCH trend rising
EVT-00015,M02,2026-05-25 08:54:00,ALARM,,TL-18,,Quality alarm triggered: SCRATCH trend rising
EVT-00016,M02,2026-05-25 09:00:00,DOWNTIME_START,,TL-18,,Line stopped pending recovery for INC-0026 (SCRATCH)
EVT-00017,M02,2026-05-25 09:09:00,DOWNTIME_END,,TL-18,,Line resumed after recovery attempt outcome=FAILURE for INC-0026; re-escalated
EVT-00018,M02,2026-06-01 08:24:00,ALARM,,TL-09,,Quality alarm triggered: CONTAM trend rising
EVT-00019,M02,2026-06-01 08:30:00,DOWNTIME_START,,TL-09,,Line stopped pending recovery for INC-0009 (CONTAM)
EVT-00020,M02,2026-06-01 08:45:00,DOWNTIME_END,,TL-09,,Line resumed after recovery attempt outcome=FAILURE for INC-0009; re-escalated
EVT-00021,M10,2026-06-02 08:54:00,ALARM,,TL-24,,Quality alarm triggered: CRACK trend rising
EVT-00022,M01,2026-06-04 00:00:00,TOOL_INSTALLED,,TL-18,,"Injection Mold Insert - Rev A (TL-18) installed, wear_level=GOOD, cycles_since_install=55499"
EVT-00023,M07,2026-06-04 06:11:00,CHANGEOVER,ORD-1094,,OP-G,Changeover from PROD-D to PROD-A ahead of ORD-1094
EVT-00024,M09,2026-06-07 00:00:00,TOOL_INSTALLED,,TL-16,,"Injection Mold Insert - Rev A (TL-16) installed, wear_level=GOOD, cycles_since_install=43107"
EVT-00025,M09,2026-06-07 23:30:00,CALIBRATION,,,,"Scheduled calibration, PASS"
EVT-00026,M06,2026-06-08 04:05:00,CHANGEOVER,ORD-1031,,OP-I,Changeover from PROD-A to PROD-C ahead of ORD-1031
EVT-00027,M08,2026-06-10 00:04:00,CHANGEOVER,ORD-1126,,OP-D,Changeover from PROD-C to PROD-B ahead of ORD-1126
EVT-00028,M08,2026-06-10 04:02:00,CHANGEOVER,ORD-1078,,OP-N,Changeover from PROD-B to PROD-D ahead of ORD-1078
EVT-00029,M08,2026-06-10 07:02:00,CHANGEOVER,ORD-1115,,OP-F,Changeover from PROD-D to PROD-B ahead of ORD-1115
EVT-00030,M07,2026-06-10 08:05:00,CHANGEOVER,ORD-1001,,OP-A,Changeover from PROD-A to PROD-B ahead of ORD-1001
EVT-00031,M08,2026-06-10 08:54:00,ALARM,,TL-02,,Quality alarm triggered: SCRATCH trend rising
EVT-00032,M06,2026-06-11 04:13:00,CHANGEOVER,ORD-1085,,OP-L,Changeover from PROD-C to PROD-D ahead of ORD-1085
EVT-00033,M02,2026-06-11 05:12:00,CHANGEOVER,ORD-1055,,OP-K,Changeover from PROD-D to PROD-B ahead of ORD-1055
EVT-00034,M02,2026-06-12 06:01:00,CHANGEOVER,ORD-1030,,OP-E,Changeover from PROD-B to PROD-A ahead of ORD-1030
EVT-00035,M08,2026-06-12 09:14:00,CHANGEOVER,ORD-1079,,OP-L,Changeover from PROD-B to PROD-D ahead of ORD-1079
EVT-00036,M05,2026-06-13 08:10:00,CHANGEOVER,ORD-1083,,OP-K,Changeover from PROD-B to PROD-D ahead of ORD-1083
EVT-00037,M05,2026-06-14 01:05:00,CHANGEOVER,ORD-1108,,OP-L,Changeover from PROD-D to PROD-C ahead of ORD-1108
EVT-00038,M10,2026-06-14 03:10:00,CHANGEOVER,ORD-1073,,OP-G,Changeover from PROD-B to PROD-D ahead of ORD-1073
EVT-00039,M01,2026-06-15 08:45:00,PARAM_CHANGE,,TL-18,,Process parameter drift noted: Injection pressure too high for wall thickness
EVT-00040,M01,2026-06-15 08:54:00,ALARM,,TL-18,,Quality alarm triggered: CRACK trend rising
EVT-00041,M07,2026-06-16 06:11:00,CHANGEOVER,ORD-1060,,OP-J,Changeover from PROD-B to PROD-C ahead of ORD-1060
EVT-00042,M06,2026-06-17 01:14:00,CHANGEOVER,ORD-1111,,OP-A,Changeover from PROD-D to PROD-B ahead of ORD-1111
EVT-00043,M05,2026-06-18 02:10:00,CHANGEOVER,ORD-1087,,OP-M,Changeover from PROD-C to PROD-A ahead of ORD-1087
EVT-00044,M09,2026-06-18 08:10:00,CHANGEOVER,ORD-1141,,OP-I,Changeover from PROD-D to PROD-B ahead of ORD-1141
EVT-00045,M03,2026-06-19 01:14:00,CHANGEOVER,ORD-1012,,OP-L,Changeover from PROD-D to PROD-A ahead of ORD-1012
EVT-00046,M09,2026-06-19 03:15:00,CHANGEOVER,ORD-1135,,OP-C,Changeover from PROD-B to PROD-D ahead of ORD-1135
EVT-00047,M01,2026-06-19 04:05:00,CHANGEOVER,ORD-1099,,OP-J,Changeover from PROD-C to PROD-D ahead of ORD-1099
EVT-00048,M10,2026-06-20 00:00:00,TOOL_INSTALLED,,TL-20,,"Injection Mold Insert - Rev A (TL-20) installed, wear_level=GOOD, cycles_since_install=31535"
EVT-00049,M03,2026-06-20 04:02:00,CHANGEOVER,ORD-1121,,OP-F,Changeover from PROD-A to PROD-B ahead of ORD-1121
EVT-00050,M09,2026-06-21 04:00:00,SHIFT_CHANGE,,,,"Night shift start, OP-D on shift"
EVT-00051,M06,2026-06-21 05:04:00,CHANGEOVER,ORD-1065,,OP-B,Changeover from PROD-B to PROD-C ahead of ORD-1065
EVT-00052,M07,2026-06-22 00:00:00,TOOL_INSTALLED,,TL-07,,"Stamping Die (TL-07) installed, wear_level=GOOD, cycles_since_install=41280"
EVT-00053,M05,2026-06-22 04:02:00,CHANGEOVER,ORD-1040,,OP-B,Changeover from PROD-A to PROD-D ahead of ORD-1040
EVT-00054,M03,2026-06-23 01:10:00,CHANGEOVER,ORD-1051,,OP-M,Changeover from PROD-B to PROD-A ahead of ORD-1051
EVT-00055,M09,2026-06-23 07:15:00,CHANGEOVER,ORD-1142,,OP-N,Changeover from PROD-D to PROD-C ahead of ORD-1142
