order_id,product_id,machine_id,material_id,material_batch,tool_id,operator_id,quantity,status,planned_start,actual_start,planned_end,actual_end
ORD-1001,PROD-B,M07,MAT-204,BATCH-4410,TL-14,OP-A,500,COMPLETED,2026-06-10 08:00:00,2026-06-10 08:05:00,2026-06-10 16:00:00,2026-06-10 16:20:00
ORD-1002,PROD-B,M06,MAT-114,BATCH-5194,TL-20,OP-L,500,COMPLETED,2026-06-30 01:00:00,2026-06-30 01:06:00,2026-06-30 09:00:00,2026-06-30 09:06:00
ORD-1003,PROD-C,M02,MAT-207,BATCH-3795,TL-09,OP-D,750,COMPLETED,2026-08-01 04:00:00,2026-08-01 04:05:00,2026-08-01 12:00:00,2026-08-01 12:09:00
ORD-1004,PROD-B,M05,MAT-104,BATCH-3223,TL-15,OP-E,500,COMPLETED,2026-06-02 08:00:00,2026-06-02 08:15:00,2026-06-02 16:00:00,2026-06-02 16:03:00
ORD-1005,PROD-C,M08,MAT-161,BATCH-4804,TL-11,OP-C,250,COMPLETED,2026-06-02 09:00:00,2026-06-02 09:08:00,2026-06-02 17:00:00,2026-06-02 17:30:00
ORD-1006,PROD-A,M07,MAT-162,BATCH-3303,TL-16,OP-K,250,COMPLETED,2026-08-01 01:00:00,2026-08-01 01:04:00,2026-08-01 09:00:00,2026-08-01 09:04:00
ORD-1007,PROD-A,M04,MAT-114,BATCH-5285,TL-20,OP-G,500,COMPLETED,2026-08-12 04:00:00,2026-08-12 04:12:00,2026-08-12 12:00:00,2026-08-12 12:14:00
ORD-1008,PROD-D,M05,MAT-172,BATCH-5543,TL-01,OP-J,250,COMPLETED,2026-07-27 04:00:00,2026-07-27 04:06:00,2026-07-27 12:00:00,2026-07-27 12:20:00
ORD-1009,PROD-A,M03,MAT-130,BATCH-3711,TL-15,OP-B,500,COMPLETED,2026-06-28 04:00:00,2026-06-28 04:00:00,2026-06-28 12:00:00,2026-06-28 12:13:00
ORD-1010,PROD-D,M05,MAT-103,BATCH-3948,TL-09,OP-L,750,COMPLETED,2026-07-28 09:00:00,2026-07-28 09:14:00,2026-07-28 17:00:00,2026-07-28 17:02:00
ORD-1011,PROD-B,M07,MAT-113,BATCH-5230,TL-07,OP-K,500,COMPLETED,2026-06-30 04:00:00,2026-06-30 04:08:00,2026-06-30 12:00:00,2026-06-30 12:26:00
ORD-1012,PROD-A,M03,MAT-201,BATCH-4259,TL-16,OP-L,750,COMPLETED,2026-06-19 01:00:00,2026-06-19 01:14:00,2026-06-19 09:00:00,2026-06-19 09:03:00
ORD-1013,PROD-D,M05,MAT-164,BATCH-5211,TL-14,OP-H,250,COMPLETED,2026-07-30 04:00:00,2026-07-30 04:01:00,2026-07-30 12:00:00,2026-07-30 12:28:00
ORD-1014,PROD-C,M01,MAT-110,BATCH-3937,TL-17,OP-N,250,COMPLETED,2026-07-26 05:00:00,2026-07-26 05:08:00,2026-07-26 13:00:00,2026-07-26 13:18:00
ORD-1015,PROD-D,M09,MAT-183,BATCH-4811,TL-25,OP-E,500,COMPLETED,2026-06-06 02:00:00,2026-06-06 02:13:00,2026-06-06 10:00:00,2026-06-06 10:20:00
ORD-1016,PROD-D,M06,MAT-152,BATCH-4365,TL-11,OP-K,250,COMPLETED,2026-08-02 01:00:00,2026-08-02 01:05:00,2026-08-02 09:00:00,2026-08-02 09:10:00
ORD-1017,PROD-C,M07,MAT-205,BATCH-5253,TL-01,OP-H,250,COMPLETED,2026-07-23 07:00:00,2026-07-23 07:10:00,2026-07-23 15:00:00,2026-07-23 15:08:00
ORD-1018,PROD-D,M09,MAT-206,BATCH-3004,TL-17,OP-N,1000,COMPLETED,2026-07-12 01:00:00,2026-07-12 01:13:00,2026-07-12 09:00:00,2026-07-12 09:01:00
ORD-1019,PROD-C,M10,MAT-196,BATCH-5041,TL-17,OP-H,250,COMPLETED,2026-06-25 08:00:00,2026-06-25 08:06:00,2026-06-25 16:00:00,2026-06-25 16:08:00
ORD-1020,PROD-C,M08,MAT-189,BATCH-4985,TL-02,OP-A,500,COMPLETED,2026-08-10 02:00:00,2026-08-10 02:05:00,2026-08-10 10:00:00,2026-08-10 10:09:00
ORD-1021,PROD-D,M02,MAT-128,BATCH-3464,TL-14,OP-B,500,COMPLETED,2026-08-10 00:00:00,2026-08-10 00:15:00,2026-08-10 08:00:00,2026-08-10 08:29:00
ORD-1022,PROD-C,M07,MAT-207,BATCH-4976,TL-14,OP-D,1000,COMPLETED,2026-07-08 08:00:00,2026-07-08 08:04:00,2026-07-08 16:00:00,2026-07-08 16:12:00
ORD-1023,PROD-B,M02,MAT-135,BATCH-4699,TL-11,OP-M,750,COMPLETED,2026-06-25 09:00:00,2026-06-25 09:00:00,2026-06-25 17:00:00,2026-06-25 17:09:00
ORD-1024,PROD-D,M03,MAT-157,BATCH-5206,TL-14,OP-F,750,COMPLETED,2026-07-09 09:00:00,2026-07-09 09:12:00,2026-07-09 17:00:00,2026-07-09 17:14:00
ORD-1025,PROD-B,M10,MAT-149,BATCH-3956,TL-24,OP-M,1000,COMPLETED,2026-07-12 03:00:00,2026-07-12 03:01:00,2026-07-12 11:00:00,2026-07-12 11:10:00
ORD-1026,PROD-D,M03,MAT-163,BATCH-3151,TL-05,OP-I,750,COMPLETED,2026-07-31 06:00:00,2026-07-31 06:03:00,2026-07-31 14:00:00,2026-07-31 14:27:00
ORD-1027,PROD-D,M01,MAT-192,BATCH-3590,TL-13,OP-N,500,COMPLETED,2026-07-27 01:00:00,2026-07-27 01:02:00,2026-07-27 09:00:00,2026-07-27 09:15:00
ORD-1028,PROD-D,M02,MAT-210,BATCH-4345,TL-24,OP-K,1000,COMPLETED,2026-07-04 05:00:00,2026-07-04 05:10:00,2026-07-04 13:00:00,2026-07-04 13:20:00
ORD-1029,PROD-A,M10,MAT-107,BATCH-3961,TL-17,OP-K,750,COMPLETED,2026-08-02 08:00:00,2026-08-02 08:07:00,2026-08-02 16:00:00,2026-08-02 16:23:00
ORD-1030,PROD-A,M02,MAT-156,BATCH-3681,TL-18,OP-E,250,COMPLETED,2026-06-12 06:00:00,2026-06-12 06:01:00,2026-06-12 14:00:00,2026-06-12 14:10:00
ORD-1031,PROD-C,M06,MAT-155,BATCH-3596,TL-07,OP-I,1000,COMPLETED,2026-06-08 04:00:00,2026-06-08 04:05:00,2026-06-08 12:00:00,2026-06-08 12:05:00
ORD-1032,PROD-D,M10,MAT-187,BATCH-3986,TL-14,OP-J,500,COMPLETED,2026-06-23 01:00:00,2026-06-23 01:07:00,2026-06-23 09:00:00,2026-06-23 09:14:00
ORD-1033,PROD-D,M05,MAT-185,BATCH-3038,TL-25,OP-M,1000,COMPLETED,2026-08-21 04:00:00,2026-08-21 04:09:00,2026-08-21 12:00:00,2026-08-21 12:21:00
ORD-1034,PROD-A,M08,MAT-144,BATCH-5406,TL-09,OP-K,1000,COMPLETED,2026-08-09 02:00:00,2026-08-09 02:08:00,2026-08-09 10:00:00,2026-08-09 10:14:00
ORD-1035,PROD-D,M08,MAT-112,BATCH-3971,TL-13,OP-J,750,COMPLETED,2026-07-09 03:00:00,2026-07-09 03:09:00,2026-07-09 11:00:00,2026-07-09 11:22:00
ORD-1036,PROD-D,M05,MAT-118,BATCH-5318,TL-24,OP-K,250,COMPLETED,2026-07-08 00:00:00,2026-07-08 00:15:00,2026-07-08 08:00:00,2026-07-08 08:26:00
ORD-1037,PROD-C,M04,MAT-181,BATCH-3778,TL-16,OP-E,500,COMPLETED,2026-07-07 03:00:00,2026-07-07 03:03:00,2026-07-07 11:00:00,2026-07-07 11:28:00
ORD-1038,PROD-A,M05,MAT-200,BATCH-4805,TL-01,OP-J,750,COMPLETED,2026-08-20 10:00:00,2026-08-20 10:04:00,2026-08-20 18:00:00,2026-08-20 18:02:00
ORD-1039,PROD-D,M03,MAT-125,BATCH-3541,TL-20,OP-I,750,COMPLETED,2026-07-08 05:00:00,2026-07-08 05:08:00,2026-07-08 13:00:00,2026-07-08 13:26:00
ORD-1040,PROD-D,M05,MAT-195,BATCH-4387,TL-20,OP-B,1000,COMPLETED,2026-06-22 04:00:00,2026-06-22 04:02:00,2026-06-22 12:00:00,2026-06-22 12:04:00
ORD-1041,PROD-D,M09,MAT-146,BATCH-3369,TL-20,OP-G,250,COMPLETED,2026-06-29 10:00:00,2026-06-29 10:08:00,2026-06-29 18:00:00,2026-06-29 18:17:00
ORD-1042,PROD-C,M05,MAT-174,BATCH-4560,TL-24,OP-K,750,COMPLETED,2026-06-16 07:00:00,2026-06-16 07:03:00,2026-06-16 15:00:00,2026-06-16 15:21:00
ORD-1043,PROD-A,M10,MAT-171,BATCH-4343,TL-25,OP-J,500,COMPLETED,2026-06-30 07:00:00,2026-06-30 07:02:00,2026-06-30 15:00:00,2026-06-30 15:20:00
ORD-1044,PROD-D,M02,MAT-116,BATCH-3185,TL-01,OP-E,1000,COMPLETED,2026-07-30 04:00:00,2026-07-30 04:03:00,2026-07-30 12:00:00,2026-07-30 12:03:00
