event_id,order_id,machine_id,timestamp,units_inspected,units_defective,defect_rate,defect_type
QE-00001,ORD-2001,M07,2026-08-26 14:05:00,100,1,0.01,SCRATCH
QE-00002,ORD-2001,M07,2026-08-26 14:10:00,100,1,0.01,SCRATCH
QE-00003,ORD-2001,M07,2026-08-26 14:15:00,100,3,0.03,SCRATCH
QE-00004,ORD-2001,M07,2026-08-26 14:20:00,100,5,0.05,SCRATCH
QE-00005,ORD-2001,M07,2026-08-26 14:35:00,50,0,0.0,
QE-00006,ORD-1093,M09,2026-06-21 04:11:00,100,0,0.0,
QE-00007,ORD-1093,M09,2026-06-21 04:26:00,50,0,0.0,
QE-00008,ORD-1093,M09,2026-06-21 04:41:00,100,0,0.0,
QE-00009,ORD-2047,M06,2026-07-28 03:00:00,50,1,0.02,SCRATCH
QE-00010,ORD-2047,M06,2026-07-28 03:15:00,50,1,0.02,CONTAM
QE-00011,ORD-1070,M02,2026-08-11 10:02:00,50,2,0.04,CONTAM
QE-00012,ORD-1027,M01,2026-07-27 01:02:00,50,0,0.0,
QE-00013,ORD-1034,M08,2026-08-09 02:08:00,100,3,0.03,SCRATCH
QE-00014,ORD-1034,M08,2026-08-09 02:23:00,100,0,0.0,
QE-00015,ORD-1023,M02,2026-06-25 09:00:00,100,0,0.0,
QE-00016,ORD-1048,M08,2026-07-06 03:01:00,50,0,0.0,
QE-00017,ORD-1048,M08,2026-07-06 03:16:00,100,0,0.0,
QE-00018,ORD-1048,M08,2026-07-06 03:31:00,50,0,0.0,
QE-00019,ORD-1111,M06,2026-06-17 01:14:00,50,0,0.0,
QE-00020,ORD-1111,M06,2026-06-17 01:29:00,50,0,0.0,
QE-00021,ORD-1111,M06,2026-06-17 01:44:00,50,0,0.0,
QE-00022,ORD-1115,M08,2026-06-10 07:02:00,100,0,0.0,
QE-00023,ORD-1115,M08,2026-06-10 07:17:00,100,0,0.0,
QE-00024,ORD-1143,M04,2026-07-02 04:10:00,100,0,0.0,
QE-00025,ORD-1143,M04,2026-07-02 04:25:00,100,0,0.0,
QE-00026,ORD-1143,M04,2026-07-02 04:40:00,100,0,0.0,
QE-00027,ORD-2041,M02,2026-07-16 03:12:00,100,2,0.02,CONTAM
QE-00028,ORD-2041,M02,2026-07-16 03:27:00,50,0,0.0,
QE-00029,ORD-2041,M02,2026-07-16 03:42:00,100,0,0.0,
QE-00030,ORD-1132,M03,2026-06-02 01:11:00,50,0,0.0,
QE-00031,ORD-1132,M03,2026-06-02 01:26:00,50,0,0.0,
QE-00032,ORD-1105,M05,2026-06-05 10:08:00,50,0,0.0,
QE-00033,ORD-1105,M05,2026-06-05 10:23:00,100,0,0.0,
QE-00034,ORD-2049,M04,2026-08-19 09:12:00,50,0,0.0,
QE-00035,ORD-2049,M04,2026-08-19 09:27:00,100,0,0.0,
QE-00036,ORD-2049,M04,2026-08-19 09:42:00,50,0,0.0,
