action_log_id,incident_id,action_id,initiated_at,completed_at,approved_by,outcome
RA-0001,INC-0007,ADJUST_PARAM,2026-05-12 09:10:00,2026-05-12 09:18:00,Shift Supervisor - R. Menon,SUCCESS
RA-0002,INC-0002,REPLACE_TOOL,2026-04-02 11:00:00,2026-04-02 11:20:00,Shift Supervisor - R. Menon,SUCCESS
RA-0003,INC-0004,MATERIAL_SWAP,2026-04-20 14:00:00,2026-04-20 14:15:00,QA Lead - S. Iyer,SUCCESS
RA-0004,INC-0009,MATERIAL_SWAP,2026-06-01 08:30:00,2026-06-01 08:45:00,QA Lead - S. Iyer,FAILURE
RA-0005,INC-0011,ADJUST_PARAM,2026-06-25 10:05:00,2026-06-25 10:13:00,Shift Supervisor - R. Menon,SUCCESS
RA-0006,INC-0013,RECALIBRATE_MACHINE,2026-07-08 13:00:00,2026-07-08 13:25:00,Maintenance Lead - A. Ghosh,SUCCESS
RA-0007,INC-0014,ADJUST_PARAM,2026-05-20 09:00:00,2026-05-20 09:09:00,Shift Supervisor - R. Menon,SUCCESS
RA-0008,INC-0015,RECALIBRATE_MACHINE,2026-06-15 09:00:00,2026-06-15 09:22:00,QA Lead - S. Iyer,SUCCESS
RA-0009,INC-0016,MATERIAL_SWAP,2026-05-05 09:00:00,2026-05-05 09:18:00,Maintenance Lead - A. Ghosh,SUCCESS
RA-0010,INC-0017,ADJUST_PARAM,2026-07-02 09:00:00,2026-07-02 09:07:00,Shift Supervisor - R. Menon,SUCCESS
RA-0011,INC-0018,RECALIBRATE_MACHINE,2026-05-18 09:00:00,2026-05-18 09:28:00,QA Lead - S. Iyer,FAILURE
RA-0012,INC-0019,REPLACE_TOOL,2026-05-19 09:00:00,2026-05-19 09:24:00,Maintenance Lead - A. Ghosh,SUCCESS
RA-0013,INC-0020,REPLACE_TOOL,2026-06-10 09:00:00,2026-06-10 09:19:00,Shift Supervisor - R. Menon,SUCCESS
RA-0014,INC-0021,MATERIAL_SWAP,2026-07-22 09:00:00,2026-07-22 09:16:00,QA Lead - S. Iyer,SUCCESS
RA-0015,INC-0022,MATERIAL_SWAP,2026-04-28 09:00:00,2026-04-28 09:17:00,Maintenance Lead - A. Ghosh,SUCCESS
RA-0016,INC-0023,REPLACE_TOOL,2026-07-30 09:00:00,2026-07-30 09:21:00,Shift Supervisor - R. Menon,SUCCESS
RA-0017,INC-0024,RECALIBRATE_MACHINE,2026-06-02 09:00:00,2026-06-02 09:26:00,QA Lead - S. Iyer,SUCCESS
RA-0018,INC-0025,ADJUST_PARAM,2026-08-01 09:00:00,2026-08-01 09:08:00,Maintenance Lead - A. Ghosh,SUCCESS
RA-0019,INC-0026,ADJUST_PARAM,2026-05-25 09:00:00,2026-05-25 09:09:00,Shift Supervisor - R. Menon,FAILURE
RA-0020,INC-0027,REPLACE_TOOL,2026-05-25 09:00:00,2026-05-25 09:20:00,QA Lead - S. Iyer,SUCCESS
