log_id,incident_id,machine_id,action_id,downtime_minutes,scrap_units,rework_units,material_waste_kg,energy_kwh,material_cost_usd,energy_cost_usd,outcome
WEL-0001,INC-0007,M07,ADJUST_PARAM,8.0,2,3,1.2,4.0,10.2,0.64,SUCCESS
WEL-0002,INC-0002,M07,REPLACE_TOOL,20.0,5,8,3.0,12.0,25.5,1.92,SUCCESS
WEL-0003,INC-0004,M03,MATERIAL_SWAP,15.0,8,4,11.25,6.75,95.62,1.08,SUCCESS
WEL-0004,INC-0009,M02,MATERIAL_SWAP,15.0,10,5,14.62,6.75,124.27,1.08,FAILURE
WEL-0005,INC-0011,M07,ADJUST_PARAM,8.0,2,3,1.2,4.0,10.2,0.64,SUCCESS
WEL-0006,INC-0013,M05,RECALIBRATE_MACHINE,25.0,4,6,2.0,13.75,17.0,2.2,SUCCESS
WEL-0007,INC-0014,M01,ADJUST_PARAM,9.0,2,3,1.35,4.5,11.48,0.72,SUCCESS
WEL-0008,INC-0015,M01,RECALIBRATE_MACHINE,22.0,4,5,1.76,12.1,14.96,1.94,SUCCESS
WEL-0009,INC-0016,M04,MATERIAL_SWAP,18.0,9,4,13.5,8.1,114.75,1.3,SUCCESS
WEL-0010,INC-0017,M04,ADJUST_PARAM,7.0,2,3,1.05,3.5,8.93,0.56,SUCCESS
WEL-0011,INC-0018,M06,RECALIBRATE_MACHINE,28.0,6,9,2.91,15.4,24.73,2.46,FAILURE
WEL-0012,INC-0019,M06,REPLACE_TOOL,24.0,6,10,3.6,14.4,30.6,2.3,SUCCESS
WEL-0013,INC-0020,M08,REPLACE_TOOL,19.0,5,8,2.85,11.4,24.23,1.82,SUCCESS
WEL-0014,INC-0021,M08,MATERIAL_SWAP,16.0,8,4,12.0,7.2,102.0,1.15,SUCCESS
WEL-0015,INC-0022,M09,MATERIAL_SWAP,17.0,8,4,12.75,7.65,108.38,1.22,SUCCESS
WEL-0016,INC-0023,M09,REPLACE_TOOL,21.0,5,8,3.15,12.6,26.77,2.02,SUCCESS
WEL-0017,INC-0024,M10,RECALIBRATE_MACHINE,26.0,4,6,2.08,14.3,17.68,2.29,SUCCESS
WEL-0018,INC-0025,M10,ADJUST_PARAM,8.0,2,3,1.2,4.0,10.2,0.64,SUCCESS
WEL-0019,INC-0026,M02,ADJUST_PARAM,9.0,3,4,1.75,4.5,14.88,0.72,FAILURE
WEL-0020,INC-0027,M02,REPLACE_TOOL,20.0,5,8,3.0,12.0,25.5,1.92,SUCCESS
